sample,assay,total_seconds,success_count,frame_count,prop_success
20220216_1338_L_q2,open_field,600,17400,17400,1
20220216_1338_L_q3,open_field,600,17400,17400,1
20220216_1338_L_q2,novel_object,600,17400,17400,1
20220216_1338_L_q3,novel_object,600,17400,17400,1
20220216_1340_R_q1,open_field,600,17400,17400,1
20220216_1340_R_q2,open_field,600,17400,17400,1
20220216_1340_R_q3,open_field,600,17400,17400,1
20220216_1340_R_q4,open_field,600,17400,17400,1
20220216_1340_R_q2,novel_object,600,17400,17400,1
20220216_1340_R_q4,novel_object,600,17400,17400,1
20220228_1437_L_q1,open_field,600,17400,17400,1
20220228_1437_L_q2,open_field,600,17400,17400,1
20220228_1437_L_q3,open_field,600,17400,17400,1
20220228_1437_L_q4,open_field,600,17400,17400,1
20220228_1437_L_q2,novel_object,600,17400,17400,1
20220228_1437_L_q3,novel_object,600,17400,17400,1
20220228_1439_R_q1,open_field,600,17400,17400,1
20220228_1439_R_q2,open_field,600,17400,17400,1
20220228_1439_R_q3,open_field,600,17400,17400,1
20220228_1439_R_q4,open_field,600,17400,17400,1
20220228_1439_R_q1,novel_object,600,17400,17400,1
20220228_1439_R_q2,novel_object,600,17400,17400,1
20220228_1439_R_q4,novel_object,600,17400,17400,1
20220301_1348_L_q1,open_field,600,17400,17400,1
20220301_1348_L_q2,open_field,600,17400,17400,1
20220301_1348_L_q3,open_field,600,17400,17400,1
20220301_1348_L_q4,open_field,600,17400,17400,1
20220301_1348_L_q1,novel_object,600,17400,17400,1
20220301_1348_L_q2,novel_object,600,17400,17400,1
20220301_1348_L_q4,novel_object,600,17400,17400,1
20220301_1350_R_q1,open_field,600,17400,17400,1
20220301_1350_R_q2,open_field,600,17400,17400,1
20220301_1350_R_q3,open_field,600,17400,17400,1
20220301_1350_R_q4,open_field,600,17400,17400,1
20220301_1350_R_q4,novel_object,600,17400,17400,1
20220303_1342_L_q1,open_field,600,17400,17400,1
20220303_1342_L_q2,open_field,600,17400,17400,1
20220303_1342_L_q3,open_field,600,17400,17400,1
20220303_1342_L_q4,open_field,600,17400,17400,1
20220303_1342_L_q3,novel_object,600,17400,17400,1
20220303_1344_R_q1,open_field,600,17400,17400,1
20220303_1344_R_q2,open_field,600,17400,17400,1
20220303_1344_R_q3,open_field,600,17400,17400,1
20220303_1344_R_q4,open_field,600,17400,17400,1
20220303_1344_R_q2,novel_object,600,17400,17400,1
20220303_1344_R_q3,novel_object,600,17400,17400,1
20220303_1344_R_q4,novel_object,600,17400,17400,1
